Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
339,-174.4,-174.4,-176.48134,-182.8,-183.7,-182.73371,2.08134,2.08134,-0.06629,-0.96629,4.33198,4.33198,0.00439,0.93371,0.0056333,0.0056333,0.0000057,0.0012142
340,-173.7,-173.7,-176.22965,-182.7,-183.7,-182.68731,2.52965,2.52965,-0.01269,-1.01269,6.39911,6.39911,0.00016,1.02555,0.0083213,0.0083213,0.0000002,0.0013336
341,-173.1,-173.1,-175.96554,-182.7,-183.6,-182.6409,2.86554,2.86554,-0.0591,-0.9591,8.21133,8.21133,0.00349,0.91987,0.0106779,0.0106779,0.0000045,0.0011962
342,-172.8,-172.8,-175.64975,-182.6,-183.6,-182.5945,2.84975,2.84975,-0.0055,-1.0055,8.12106,8.12106,0.00003,1.01104,0.0105606,0.0105606,0,0.0013147
343,-172.8,-172.8,-175.19287,-182.6,-183.6,-182.54809,2.39287,2.39287,-0.05191,-1.05191,5.72583,5.72583,0.00269,1.10651,0.0074458,0.0074458,0.0000035,0.0014389
344,-173.2,-173.2,-174.66631,-182.5,-183.6,-182.50169,1.46631,1.46631,0.00169,-1.09831,2.15006,2.15006,0,1.20629,0.0027959,0.0027959,0,0.0015687
345,-173.6,-173.6,-174.12627,-182.5,-183.5,-182.45528,0.52627,0.52627,-0.04472,-1.04472,0.27696,0.27696,0.002,1.09144,0.0003602,0.0003602,0.0000026,0.0014193
346,-173.6,-173.6,-173.58623,-182.5,-183.5,-182.40888,-0.01377,-0.01377,-0.09112,-1.09112,0.00019,0.00019,0.0083,1.19055,0.0000002,0.0000002,0.0000108,0.0015482
347,-173.2,-173.2,-172.97073,-182.5,-183.5,-182.36247,-0.22927,-0.22927,-0.13753,-1.13753,0.05257,0.05257,0.01891,1.29397,0.0000684,0.0000684,0.0000246,0.0016827
348,-172.6,-172.6,-172.30755,-182.4,-183.4,-182.31606,-0.29245,-0.29245,-0.08394,-1.08394,0.08553,0.08553,0.00705,1.17492,0.0001112,0.0001112,0.0000092,0.0015278
349,-171.8,-171.8,-171.61729,-182.4,-183.4,-182.26966,-0.18271,-0.18271,-0.13034,-1.13034,0.03338,0.03338,0.01699,1.27767,0.0000434,0.0000434,0.0000221,0.0016615
